epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
1,1.003994,64.919,0.826089,68.778,0.00029266,135.298,7.576,55.340,21.818,0.000,2.691,94.183,0.000,0.871375,0.859586,0.911552,0.901208,0.841378,0.829224,0.839438,0.859440,0.917388
2,0.772747,71.398,0.756825,71.272,0.00027135,137.950,25.758,34.951,28.182,0.000,2.242,95.824,82.759,0.902635,0.888204,0.913670,0.924949,0.866511,0.886654,0.843636,0.892922,0.990105
3,0.702979,73.708,0.674818,74.613,0.00023817,136.754,30.303,41.748,46.818,0.000,17.489,94.855,65.517,0.915304,0.905173,0.939777,0.936265,0.883985,0.879788,0.865101,0.909770,0.992444
4,0.670353,74.894,0.646031,75.960,0.00019635,136.849,37.879,50.485,50.000,8.696,23.318,94.109,68.966,0.921508,0.911742,0.940152,0.944346,0.903532,0.890208,0.865073,0.915589,0.991659
5,0.632929,76.130,0.623674,75.561,0.00015000,136.859,36.364,58.252,52.727,8.696,47.085,88.292,82.759,0.932613,0.921454,0.949083,0.952962,0.904013,0.918637,0.882298,0.925487,0.995812
6,0.605040,76.642,0.609123,76.509,0.00010365,136.890,39.394,54.369,50.909,8.696,51.570,89.485,79.310,0.934190,0.924083,0.946356,0.953473,0.912200,0.917409,0.887243,0.927381,0.995271
7,0.572913,78.739,0.595201,77.855,0.00006183,136.987,42.424,57.282,56.364,21.739,24.215,94.705,72.414,0.938458,0.927010,0.949169,0.955428,0.920405,0.933357,0.886430,0.930002,0.994416
8,0.546486,79.988,0.571564,78.753,0.00002865,136.853,43.939,51.456,61.818,21.739,35.426,93.438,82.759,0.941562,0.931582,0.948904,0.962130,0.923787,0.929430,0.893944,0.934517,0.998220
9,0.525685,80.300,0.572706,78.753,0.00000734,136.726,53.030,51.456,60.909,30.435,48.430,90.902,79.310,0.941720,0.931573,0.946098,0.961303,0.924001,0.932216,0.896355,0.934229,0.997836
10,0.516770,80.824,0.566962,79.102,0.00030000,137.053,45.455,65.049,60.909,21.739,44.843,91.424,82.759,0.942914,0.932440,0.946153,0.962977,0.924158,0.937963,0.895585,0.935390,0.998168
11,0.582797,78.077,0.642009,75.810,0.00029815,137.126,50.000,35.922,37.727,21.739,41.256,93.065,75.862,0.931167,0.921300,0.952334,0.943943,0.908245,0.908349,0.881974,0.925277,0.998046
12,0.567850,78.464,0.593586,78.504,0.00029266,137.005,40.909,57.282,56.818,4.348,25.112,95.451,89.655,0.940269,0.929502,0.941965,0.962201,0.922926,0.934914,0.889339,0.932561,0.997976
13,0.563855,78.552,0.619113,77.307,0.00028365,137.164,51.515,65.049,50.455,21.739,27.803,93.214,72.414,0.937581,0.922013,0.947989,0.959195,0.918090,0.940947,0.881974,0.923353,0.991519
14,0.546733,79.588,0.593769,78.105,0.00027135,137.053,37.879,62.136,49.545,8.696,41.704,93.139,82.759,0.939894,0.928646,0.945340,0.952426,0.922697,0.941276,0.893227,0.931255,0.993037
15,0.517034,80.200,0.641371,74.863,0.00025607,137.140,51.515,65.049,67.273,13.043,63.677,80.761,82.759,0.943395,0.929405,0.953241,0.964136,0.921581,0.945685,0.888856,0.931819,0.998447
16,0.499637,81.174,0.585004,78.005,0.00023817,137.082,46.970,52.427,78.182,34.783,36.771,88.814,89.655,0.948818,0.937228,0.959961,0.963692,0.928228,0.953538,0.896715,0.940677,0.998918
17,0.494711,80.986,0.558881,78.703,0.00021810,137.129,42.424,66.990,65.455,26.087,53.363,88.591,82.759,0.949937,0.937166,0.963493,0.964054,0.934311,0.956412,0.892918,0.939978,0.998395
18,0.479965,81.835,0.568398,78.803,0.00019635,137.143,59.091,66.019,60.000,43.478,44.843,90.157,75.862,0.945536,0.935902,0.960273,0.966928,0.928757,0.944435,0.897805,0.938687,0.981869
19,0.459728,82.884,0.547780,79.401,0.00017347,137.175,33.333,79.612,46.818,30.435,53.363,91.872,93.103,0.951856,0.941736,0.959132,0.969276,0.931138,0.954723,0.904435,0.945244,0.999040
20,0.436313,83.408,0.566078,78.554,0.00015000,137.207,56.061,60.194,70.909,30.435,44.843,88.591,86.207,0.949469,0.937074,0.960664,0.965483,0.932921,0.948581,0.901836,0.938756,0.998046
21,0.420225,84.345,0.573812,77.905,0.00012653,137.195,63.636,62.136,68.636,26.087,62.332,84.564,89.655,0.951978,0.939876,0.961289,0.967051,0.938258,0.955908,0.903731,0.941520,0.996091
22,0.404108,84.906,0.546676,79.252,0.00010365,137.087,60.606,66.990,45.455,26.087,57.848,91.051,82.759,0.952462,0.941888,0.959968,0.970455,0.940973,0.947791,0.906368,0.943544,0.998133
23,0.389804,85.268,0.538932,80.399,0.00008190,136.925,48.485,64.078,66.818,39.130,62.332,89.187,79.310,0.956097,0.945831,0.967626,0.966571,0.937642,0.962006,0.914184,0.948403,0.996248
24,0.363124,86.404,0.534335,80.200,0.00006183,137.039,54.545,69.903,47.273,39.130,56.951,92.170,82.759,0.951966,0.944302,0.960773,0.969302,0.941467,0.931317,0.917982,0.945487,0.997435
25,0.356663,86.642,0.534332,81.047,0.00004393,136.896,57.576,66.019,75.455,52.174,55.605,89.038,79.310,0.953268,0.946040,0.960820,0.967040,0.947917,0.936362,0.915815,0.947472,0.997452
26,0.334677,87.403,0.540075,81.047,0.00002865,136.882,50.000,65.049,57.273,43.478,57.848,92.245,79.310,0.951065,0.943527,0.962492,0.965933,0.939722,0.935463,0.911441,0.945824,0.996580
27,0.326032,87.615,0.531489,81.147,0.00001635,136.971,60.606,65.049,67.727,47.826,62.780,89.187,82.759,0.954535,0.946959,0.961328,0.966464,0.947237,0.942526,0.918294,0.948459,0.997435
28,0.311158,88.265,0.532004,80.948,0.00000734,137.098,57.576,64.078,62.727,39.130,64.574,89.784,82.759,0.954071,0.946805,0.964133,0.966729,0.947021,0.936208,0.918135,0.948228,0.998046
