epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415291,43.833,1.432371,43.500,0.00029266,24.378,100.000,0.000,0.000,0.000,0.000,0.711902,0.743986,0.819830,0.615881,0.643387,0.787783,0.692632
2,1.254979,50.667,1.346960,43.500,0.00027135,22.492,100.000,0.000,0.000,0.000,0.000,0.721886,0.756798,0.836817,0.617047,0.656797,0.798503,0.700263
3,1.176263,51.750,1.203038,48.500,0.00023817,23.024,91.379,6.522,31.522,4.412,0.000,0.729948,0.763148,0.836563,0.652174,0.673313,0.791637,0.696053
4,1.152855,53.750,1.179471,52.000,0.00019635,23.124,91.379,17.391,32.609,16.176,0.000,0.744751,0.775061,0.848769,0.676676,0.693076,0.777994,0.727237
5,1.127440,53.167,1.168433,54.500,0.00015000,23.167,85.632,23.913,44.565,25.000,0.000,0.749082,0.779395,0.848108,0.680115,0.711074,0.778349,0.727763
6,1.123056,53.583,1.170017,53.500,0.00010365,23.159,79.885,15.217,48.913,32.353,5.000,0.749561,0.780287,0.849074,0.671334,0.712098,0.784904,0.730395
7,1.123982,52.583,1.168558,55.000,0.00006183,23.213,78.161,15.217,45.652,50.000,5.000,0.751501,0.781406,0.847269,0.682817,0.720709,0.776843,0.729868
8,1.109367,52.667,1.171723,55.500,0.00002865,23.188,78.161,10.870,54.348,42.647,10.000,0.749815,0.780873,0.847371,0.678335,0.720638,0.778127,0.724605
9,1.102305,53.250,1.171357,55.750,0.00000734,23.213,78.161,10.870,57.609,41.176,5.000,0.751819,0.782797,0.848820,0.679317,0.723285,0.780829,0.726842
10,1.105397,54.333,1.169634,55.500,0.00030000,23.283,78.736,10.870,56.522,39.706,5.000,0.752649,0.783264,0.849049,0.678212,0.723602,0.782380,0.730000
11,1.106293,53.583,1.189519,55.750,0.00029815,23.232,76.437,17.391,52.174,45.588,15.000,0.747456,0.781066,0.856373,0.663043,0.715591,0.771616,0.730658
12,1.132842,52.833,1.186825,57.000,0.00029266,23.267,78.736,23.913,58.696,38.235,0.000,0.746134,0.780144,0.850092,0.671579,0.722156,0.772369,0.714474
13,1.107520,54.750,1.221823,55.250,0.00028365,23.218,74.713,15.217,53.261,50.000,5.000,0.745399,0.779189,0.850219,0.680054,0.710968,0.777729,0.708026
14,1.108211,54.750,1.215742,53.750,0.00027135,23.227,77.586,19.565,46.739,38.235,10.000,0.749581,0.776929,0.842946,0.674220,0.705040,0.785569,0.740132
