epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415298,43.833,1.430610,43.500,0.00029266,24.225,100.000,0.000,0.000,0.000,0.000,0.711950,0.744024,0.819983,0.616188,0.643210,0.787606,0.692763
2,1.254950,50.667,1.345714,43.500,0.00027135,22.500,100.000,0.000,0.000,0.000,0.000,0.721946,0.756895,0.836868,0.618091,0.656973,0.798193,0.699605
3,1.176304,51.750,1.202389,48.500,0.00023817,22.957,91.379,8.696,30.435,4.412,0.000,0.730119,0.763379,0.836766,0.652420,0.673807,0.791681,0.695921
4,1.152883,53.750,1.179299,51.750,0.00019635,22.998,91.379,17.391,31.522,16.176,0.000,0.744819,0.775179,0.848820,0.677045,0.693394,0.777994,0.726842
5,1.127442,53.167,1.168527,54.750,0.00015000,23.065,85.632,26.087,44.565,25.000,0.000,0.749196,0.779510,0.848159,0.680300,0.711321,0.778437,0.727763
6,1.123039,53.583,1.170203,53.750,0.00010365,23.024,79.885,15.217,48.913,33.824,5.000,0.749710,0.780411,0.849202,0.671825,0.711957,0.785170,0.730395
7,1.123964,52.583,1.168634,55.000,0.00006183,22.812,78.161,15.217,45.652,50.000,5.000,0.751458,0.781388,0.847243,0.682879,0.720673,0.776887,0.729605
8,1.109378,52.667,1.171669,55.500,0.00002865,23.382,78.161,10.870,54.348,42.647,10.000,0.749936,0.780985,0.847396,0.678580,0.720885,0.778216,0.724605
9,1.102330,53.250,1.171384,55.750,0.00000734,23.270,78.161,10.870,57.609,41.176,5.000,0.751847,0.782747,0.848718,0.679440,0.723144,0.780829,0.727105
10,1.105432,54.333,1.169600,55.750,0.00030000,23.303,78.736,10.870,56.522,41.176,5.000,0.752718,0.783298,0.849100,0.678335,0.723602,0.782291,0.730263
11,1.106308,53.583,1.190921,55.500,0.00029815,23.347,76.437,17.391,51.087,45.588,15.000,0.747068,0.780830,0.856373,0.662921,0.714956,0.771483,0.729605
12,1.132886,52.833,1.189052,56.500,0.00029266,23.295,78.161,23.913,57.609,38.235,0.000,0.745530,0.779760,0.849583,0.670781,0.722685,0.771704,0.712895
13,1.107558,54.750,1.224091,55.250,0.00028365,23.316,74.713,15.217,53.261,50.000,5.000,0.745365,0.779203,0.850066,0.679501,0.711321,0.778172,0.707763
14,1.108162,54.750,1.216352,54.000,0.00027135,23.297,77.586,19.565,47.826,38.235,10.000,0.749771,0.777272,0.843276,0.674527,0.706098,0.785214,0.739737
15,1.087624,55.167,1.243531,53.750,0.00025607,23.327,79.885,23.913,40.217,38.235,10.000,0.742700,0.775305,0.843683,0.657148,0.723391,0.765725,0.723553
16,1.114471,53.583,1.182379,56.500,0.00023817,23.329,81.609,19.565,61.957,25.000,5.000,0.757305,0.787795,0.855381,0.679993,0.739730,0.764972,0.746447
17,1.097472,54.083,1.219011,52.500,0.00021810,23.379,76.437,13.043,29.348,61.765,10.000,0.744064,0.777476,0.851719,0.676861,0.700981,0.778127,0.712632
18,1.085591,53.417,1.200703,55.250,0.00019635,23.275,75.862,30.435,52.174,36.765,10.000,0.746041,0.776790,0.848566,0.671457,0.708674,0.769800,0.731711
19,1.095623,55.417,1.213517,55.250,0.00017347,23.343,75.862,13.043,63.043,33.824,10.000,0.749322,0.780295,0.850473,0.668632,0.721979,0.767629,0.737895
20,1.072160,55.250,1.227080,53.750,0.00015000,23.299,74.713,21.739,40.217,55.882,0.000,0.740670,0.773509,0.847650,0.664824,0.698299,0.775735,0.716842
21,1.056872,56.000,1.230154,54.750,0.00012653,23.322,76.437,30.435,46.739,39.706,10.000,0.745150,0.778778,0.852813,0.657087,0.707757,0.783753,0.724342
22,1.046182,56.417,1.221591,55.250,0.00010365,23.355,77.011,26.087,55.435,32.353,10.000,0.753329,0.783371,0.850778,0.675141,0.727661,0.771882,0.741184
23,1.076525,55.417,1.235672,54.750,0.00008190,23.323,80.460,23.913,46.739,33.824,10.000,0.752469,0.782108,0.854440,0.659236,0.713580,0.781139,0.753947
24,1.054448,55.500,1.211971,55.000,0.00006183,23.329,75.862,19.565,51.087,44.118,10.000,0.747520,0.782069,0.856373,0.660219,0.710404,0.789157,0.721447
25,1.049035,55.833,1.236258,54.500,0.00004393,23.345,75.862,21.739,50.000,41.176,10.000,0.742459,0.775232,0.848184,0.666237,0.704828,0.774096,0.718947
26,1.037156,56.250,1.227094,55.750,0.00002865,23.350,75.287,30.435,53.261,39.706,10.000,0.747040,0.778541,0.851109,0.662429,0.707898,0.780209,0.733553
27,1.043670,56.000,1.245269,54.750,0.00001635,23.337,74.713,28.261,47.826,44.118,10.000,0.743287,0.777182,0.850117,0.655367,0.707898,0.783708,0.719342
28,1.039522,56.583,1.236308,55.000,0.00000734,23.346,75.287,28.261,51.087,39.706,10.000,0.746306,0.779391,0.851694,0.659113,0.709980,0.785613,0.725132
29,1.036106,57.250,1.228515,55.250,0.00000185,23.309,75.287,26.087,52.174,41.176,10.000,0.747463,0.779614,0.851439,0.664272,0.708674,0.785037,0.727895
30,1.056662,56.667,1.234857,55.750,0.00030000,23.323,75.287,26.087,54.348,41.176,10.000,0.747003,0.779633,0.851007,0.661938,0.712133,0.783620,0.726316
31,1.074920,55.167,1.320769,49.500,0.00029954,23.333,74.713,21.739,9.783,69.118,10.000,0.729500,0.764828,0.844192,0.661078,0.676348,0.772723,0.693158
32,1.073681,55.250,1.235630,56.000,0.00029815,23.334,78.736,8.696,70.652,23.529,10.000,0.744672,0.777573,0.844904,0.666175,0.726143,0.767585,0.718553
33,1.075745,53.500,1.250199,54.500,0.00029586,23.328,78.736,21.739,36.957,54.412,0.000,0.740178,0.780429,0.853245,0.679194,0.714074,0.785037,0.669342
34,1.058820,54.167,1.268747,52.500,0.00029266,23.353,79.885,17.391,51.087,20.588,10.000,0.739793,0.767187,0.837046,0.650946,0.695017,0.771350,0.744605
35,1.070078,55.417,1.240383,57.000,0.00028858,23.285,77.011,19.565,50.000,54.412,10.000,0.750188,0.783016,0.852609,0.682510,0.725191,0.769313,0.721316
36,1.042046,54.917,1.265150,48.750,0.00028365,23.287,81.034,17.391,42.391,5.882,15.000,0.734083,0.767615,0.846404,0.637313,0.680512,0.785923,0.720263
37,1.031366,56.750,1.313846,54.250,0.00027790,23.294,75.287,26.087,50.000,41.176,0.000,0.733532,0.764950,0.831655,0.667649,0.713968,0.745571,0.708816
38,1.052899,56.167,1.272074,50.750,0.00027135,23.375,86.207,8.696,22.826,38.235,10.000,0.739027,0.772813,0.850168,0.657701,0.679701,0.797041,0.710526
39,1.038708,56.667,1.297637,56.500,0.00026406,23.350,79.885,30.435,45.652,44.118,5.000,0.749287,0.781239,0.849914,0.673606,0.717074,0.782025,0.723816
40,1.028660,57.250,1.292936,52.750,0.00025607,23.375,77.011,21.739,39.130,42.647,10.000,0.745404,0.777201,0.851999,0.656166,0.700628,0.783886,0.734342
41,1.035447,55.083,1.274845,54.250,0.00024742,23.319,78.161,34.783,38.043,44.118,0.000,0.740797,0.773171,0.847447,0.671150,0.695193,0.774539,0.715658
42,1.025043,56.083,1.304504,54.500,0.00023817,23.351,75.862,23.913,57.609,29.412,10.000,0.746857,0.777985,0.839462,0.677413,0.728755,0.773919,0.714737
43,1.000995,57.833,1.276325,54.250,0.00022837,23.425,80.460,23.913,33.696,48.529,10.000,0.739656,0.770842,0.842259,0.671579,0.711110,0.750044,0.723289
44,1.004694,59.167,1.307485,50.500,0.00021810,23.386,90.230,21.739,23.913,16.176,10.000,0.721970,0.759293,0.838165,0.657824,0.677830,0.761162,0.674868
