epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.377832,45.750,1.619751,27.750,0.00029266,25.690,16.667,0.000,89.130,0.000,0.000,0.681301,0.725124,0.803199,0.621100,0.652880,0.730643,0.598684
2,1.238709,52.333,1.324101,52.750,0.00027135,24.659,77.011,6.522,70.652,13.235,0.000,0.711711,0.744921,0.815914,0.654815,0.662832,0.758283,0.666711
3,1.186405,52.583,1.209327,53.000,0.00023817,24.716,78.736,0.000,73.913,10.294,0.000,0.731203,0.762093,0.832825,0.666298,0.683724,0.768958,0.704211
4,1.176176,52.333,1.183466,55.000,0.00019635,24.770,79.885,0.000,69.565,25.000,0.000,0.742266,0.771446,0.839589,0.677659,0.697381,0.775514,0.721184
5,1.184038,52.083,1.184947,54.250,0.00015000,24.779,81.034,0.000,61.957,27.941,0.000,0.746018,0.773787,0.839080,0.673115,0.703946,0.781449,0.732500
6,1.153911,52.000,1.186929,54.750,0.00010365,25.223,79.885,0.000,54.348,44.118,0.000,0.750413,0.777524,0.838470,0.677168,0.716438,0.784461,0.735526
7,1.167823,53.000,1.185327,55.750,0.00006183,25.592,78.736,0.000,59.783,45.588,0.000,0.751978,0.779321,0.840555,0.678519,0.719650,0.783930,0.737237
8,1.146360,52.333,1.188610,54.750,0.00002865,25.423,78.736,0.000,52.174,50.000,0.000,0.751976,0.779236,0.839589,0.679071,0.719368,0.786455,0.735395
9,1.136394,53.417,1.188000,54.750,0.00000734,25.549,78.736,0.000,52.174,50.000,0.000,0.751593,0.778898,0.839691,0.678703,0.717850,0.786588,0.735132
10,1.143120,52.750,1.191332,55.000,0.00030000,25.464,78.736,0.000,53.261,50.000,0.000,0.751482,0.778788,0.839538,0.679317,0.718027,0.785790,0.734737
11,1.142524,52.583,1.196676,55.500,0.00029815,25.479,77.011,8.696,55.435,48.529,0.000,0.746601,0.775816,0.839843,0.671764,0.709098,0.787695,0.724605
