epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.303830,47.750,1.498901,43.000,0.00029266,27.965,98.851,0.000,0.000,0.000,0.000,0.468184,0.454335,0.481335,0.531688,0.410608,0.362553,0.554737
2,1.163448,51.917,1.203663,50.750,0.00027135,25.915,93.678,0.000,22.826,27.941,0.000,0.728164,0.762629,0.825755,0.709654,0.672995,0.795048,0.637368
3,1.165016,51.417,1.273847,43.500,0.00023817,25.846,100.000,0.000,0.000,0.000,0.000,0.723080,0.759685,0.828044,0.663842,0.671478,0.800850,0.651184
4,1.127326,52.750,1.235413,55.500,0.00019635,25.879,78.161,26.087,59.783,27.941,0.000,0.736473,0.769221,0.830282,0.701363,0.699922,0.782247,0.668553
5,1.120311,53.833,1.187789,52.500,0.00015000,25.918,81.609,4.348,51.087,27.941,0.000,0.744198,0.774187,0.841852,0.702284,0.702216,0.766478,0.708158
6,1.129696,54.250,1.192595,55.000,0.00010365,26.035,78.736,17.391,50.000,42.647,0.000,0.749241,0.779088,0.848617,0.680238,0.701581,0.788005,0.727763
7,1.121940,53.750,1.189027,55.500,0.00006183,26.017,78.736,15.217,54.348,38.235,10.000,0.753184,0.782215,0.850956,0.694056,0.710686,0.777197,0.733026
8,1.097796,54.750,1.186766,54.750,0.00002865,26.035,78.736,21.739,46.739,41.176,5.000,0.751342,0.782259,0.853143,0.684107,0.714533,0.774008,0.730921
9,1.085547,54.167,1.190846,55.000,0.00000734,26.048,78.161,21.739,46.739,42.647,10.000,0.750069,0.779717,0.848311,0.690862,0.713262,0.769224,0.728684
10,1.088972,53.750,1.189546,56.250,0.00030000,26.021,79.885,21.739,50.000,41.176,10.000,0.751455,0.781037,0.849278,0.689388,0.714744,0.772812,0.731053
11,1.103864,54.083,1.217210,54.000,0.00029815,26.096,75.862,17.391,43.478,51.471,5.000,0.735322,0.769151,0.839513,0.665377,0.702887,0.769490,0.699342
12,1.124396,52.750,1.233758,52.000,0.00029266,26.096,75.862,41.304,21.739,48.529,20.000,0.754633,0.783929,0.849634,0.693012,0.720991,0.777817,0.731711
13,1.107208,53.083,1.244870,52.750,0.00028365,26.105,87.931,17.391,33.696,27.941,0.000,0.733003,0.763943,0.844294,0.651928,0.681818,0.754474,0.732500
14,1.117906,53.417,1.240293,52.250,0.00027135,26.105,76.437,6.522,47.826,41.176,5.000,0.742783,0.773858,0.845387,0.690125,0.688700,0.782202,0.707500
15,1.093369,54.833,1.220242,54.500,0.00025607,26.066,75.287,15.217,55.435,36.765,20.000,0.743695,0.774029,0.848718,0.684353,0.697311,0.761251,0.726842
16,1.074276,55.750,1.235507,55.250,0.00023817,26.224,79.885,36.957,51.087,23.529,10.000,0.743733,0.773883,0.843022,0.687792,0.701334,0.770331,0.716184
17,1.068766,54.583,1.245036,52.250,0.00021810,26.051,79.885,17.391,32.609,44.118,10.000,0.749238,0.780701,0.856551,0.677536,0.697029,0.784284,0.730789
18,1.068535,55.667,1.284170,55.000,0.00019635,26.202,83.333,28.261,47.826,22.059,15.000,0.733850,0.768970,0.848871,0.667956,0.707016,0.733434,0.711974
