epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
1,1.415329,43.833,1.432008,43.500,0.00029266,24.600,100.000,0.000,0.000,0.000,0.000,0.711961,0.743965,0.819856,0.616126,0.643104,0.787695,0.693026
2,1.254976,50.667,1.346740,43.500,0.00027135,22.532,100.000,0.000,0.000,0.000,0.000,0.722024,0.756864,0.836792,0.617907,0.656832,0.798326,0.700263
3,1.176321,51.750,1.203021,48.500,0.00023817,22.475,91.379,8.696,30.435,4.412,0.000,0.729873,0.763151,0.836690,0.651990,0.673172,0.791726,0.695789
4,1.152882,53.750,1.179421,51.750,0.00019635,23.862,91.379,17.391,31.522,16.176,0.000,0.744639,0.775083,0.848896,0.676922,0.693111,0.777817,0.726447
5,1.127419,53.167,1.168553,54.250,0.00015000,23.171,85.632,23.913,43.478,25.000,0.000,0.749149,0.779436,0.848235,0.680177,0.710827,0.778482,0.728026
6,1.123033,53.583,1.170158,53.500,0.00010365,23.179,79.885,15.217,48.913,32.353,5.000,0.749580,0.780259,0.848973,0.671579,0.711780,0.785303,0.730263
7,1.123950,52.583,1.168660,55.000,0.00006183,23.237,78.161,15.217,45.652,50.000,5.000,0.751449,0.781387,0.847218,0.682756,0.720779,0.776887,0.729605
8,1.109373,52.667,1.171634,55.500,0.00002865,23.229,78.161,10.870,54.348,42.647,10.000,0.749928,0.780967,0.847396,0.678580,0.720709,0.778349,0.724605
9,1.102303,53.167,1.171369,55.750,0.00000734,23.223,78.161,10.870,57.609,41.176,5.000,0.751858,0.782766,0.848744,0.679379,0.723144,0.780918,0.727105
10,1.105418,54.333,1.169622,55.750,0.00030000,23.240,78.736,10.870,56.522,41.176,5.000,0.752708,0.783272,0.849074,0.678273,0.723638,0.782158,0.730395
11,1.106319,53.583,1.191825,55.750,0.00029815,23.246,76.437,17.391,51.087,47.059,15.000,0.746969,0.780724,0.856322,0.663043,0.714921,0.770951,0.729605
12,1.132954,52.750,1.188782,56.750,0.00029266,23.274,78.161,23.913,58.696,38.235,0.000,0.745612,0.779885,0.849812,0.670843,0.722897,0.771483,0.713026
13,1.107573,54.750,1.222804,55.500,0.00028365,23.222,74.713,15.217,54.348,50.000,5.000,0.745142,0.779100,0.850295,0.679931,0.710827,0.777551,0.707105
14,1.108078,54.667,1.215232,53.750,0.00027135,23.237,77.586,19.565,46.739,38.235,10.000,0.749896,0.777325,0.843454,0.674282,0.705781,0.785436,0.740526
15,1.087636,55.167,1.243133,54.250,0.00025607,23.171,79.885,23.913,42.391,38.235,10.000,0.742630,0.775331,0.843531,0.657025,0.724061,0.765636,0.722895
16,1.114446,53.583,1.181850,56.750,0.00023817,22.739,81.609,19.565,63.043,25.000,5.000,0.756972,0.787642,0.855356,0.680177,0.739801,0.764263,0.745263
17,1.097412,54.167,1.218556,53.000,0.00021810,22.772,76.437,13.043,30.435,63.235,10.000,0.743757,0.777257,0.851541,0.676615,0.701193,0.777330,0.712105
18,1.085615,53.500,1.200705,55.000,0.00019635,22.912,75.862,28.261,51.087,38.235,10.000,0.745755,0.776484,0.848159,0.671088,0.708816,0.769135,0.731579
19,1.095541,55.500,1.213163,55.250,0.00017347,23.074,75.862,13.043,63.043,33.824,10.000,0.749158,0.780100,0.850295,0.668263,0.721485,0.767851,0.737895
20,1.072040,55.250,1.226810,53.500,0.00015000,23.279,74.713,21.739,39.130,55.882,0.000,0.740594,0.773236,0.847421,0.665316,0.696817,0.776311,0.717105
21,1.056940,56.333,1.230829,54.750,0.00012653,23.213,76.437,30.435,46.739,39.706,10.000,0.744778,0.778520,0.852914,0.657455,0.706522,0.783708,0.723289
22,1.046202,56.333,1.221684,55.000,0.00010365,23.333,77.011,26.087,54.348,32.353,10.000,0.752984,0.783176,0.850600,0.675264,0.727837,0.771217,0.740000
23,1.076538,55.583,1.236482,54.000,0.00008190,23.322,79.310,23.913,45.652,33.824,10.000,0.752136,0.781865,0.854465,0.658806,0.713474,0.780120,0.753816
24,1.054436,55.500,1.212741,55.000,0.00006183,23.275,75.862,19.565,51.087,44.118,10.000,0.747503,0.782005,0.856246,0.660219,0.710404,0.789068,0.721579
25,1.049150,55.917,1.236013,54.000,0.00004393,23.275,75.862,19.565,50.000,41.176,5.000,0.742275,0.774987,0.848133,0.665684,0.704122,0.773964,0.719474
26,1.037198,56.333,1.227015,55.750,0.00002865,23.291,75.287,30.435,53.261,39.706,10.000,0.746939,0.778440,0.850804,0.662122,0.708180,0.780298,0.733289
27,1.043748,56.083,1.244935,54.750,0.00001635,23.275,74.713,28.261,47.826,44.118,10.000,0.743216,0.777064,0.850066,0.655367,0.707686,0.783354,0.719605
28,1.039460,56.583,1.236782,55.000,0.00000734,23.279,75.287,28.261,51.087,39.706,10.000,0.746161,0.779301,0.851744,0.658868,0.709310,0.786145,0.724737
29,1.036203,57.250,1.228939,55.250,0.00000185,23.321,75.287,26.087,52.174,41.176,10.000,0.747200,0.779475,0.851439,0.663596,0.708427,0.785170,0.727368
30,1.056638,56.833,1.235057,55.750,0.00030000,23.295,75.287,26.087,54.348,41.176,10.000,0.746864,0.779492,0.851083,0.661570,0.711604,0.783487,0.726579
31,1.075106,55.083,1.318138,49.000,0.00029954,23.262,74.713,17.391,10.870,67.647,10.000,0.729572,0.764571,0.843658,0.660403,0.676207,0.772723,0.694868
32,1.073711,55.250,1.234665,56.500,0.00029815,23.253,78.736,10.870,71.739,23.529,10.000,0.744671,0.777268,0.844878,0.665991,0.726285,0.765016,0.721184
33,1.075348,53.417,1.250061,54.750,0.00029586,23.269,78.736,21.739,39.130,52.941,0.000,0.740449,0.780643,0.853448,0.678826,0.714674,0.784904,0.670395
34,1.059013,54.000,1.268958,52.250,0.00029266,23.292,79.310,17.391,52.174,19.118,10.000,0.740425,0.767631,0.836944,0.651007,0.695793,0.772856,0.745526
35,1.070372,55.583,1.240490,57.000,0.00028858,23.299,77.011,19.565,50.000,54.412,10.000,0.750813,0.783423,0.852813,0.682449,0.725579,0.770198,0.723026
36,1.042148,54.750,1.264492,49.000,0.00028365,23.306,81.609,17.391,42.391,7.353,10.000,0.734123,0.767569,0.846582,0.636576,0.680089,0.785923,0.721447
37,1.031471,56.667,1.314053,53.500,0.00027790,23.329,75.287,23.913,47.826,41.176,0.000,0.733291,0.764942,0.831680,0.668079,0.714109,0.745482,0.707105
38,1.052850,56.167,1.269447,51.500,0.00027135,23.281,86.207,10.870,23.913,39.706,10.000,0.738434,0.772752,0.850804,0.657701,0.677971,0.798326,0.707368
39,1.038950,56.833,1.297746,56.750,0.00026406,23.337,81.034,30.435,45.652,42.647,5.000,0.748548,0.780897,0.850193,0.671887,0.716933,0.780962,0.722763
40,1.028629,57.083,1.294991,52.750,0.00025607,23.277,77.586,19.565,41.304,39.706,10.000,0.745137,0.776863,0.851668,0.654630,0.700946,0.783044,0.735395
41,1.035698,55.167,1.277762,55.000,0.00024742,23.332,78.161,34.783,41.304,44.118,0.000,0.740732,0.772822,0.847065,0.670904,0.694664,0.773919,0.717105
42,1.025245,56.000,1.306975,55.000,0.00023817,23.326,75.287,23.913,59.783,30.882,10.000,0.746896,0.777933,0.839080,0.677045,0.729214,0.774141,0.715000
43,1.001023,57.667,1.278499,54.000,0.00022837,23.301,80.460,21.739,33.696,48.529,10.000,0.739399,0.770683,0.842412,0.670658,0.711392,0.748848,0.723684
44,1.004569,58.917,1.308758,51.250,0.00021810,23.332,90.805,23.913,23.913,17.647,10.000,0.721330,0.758975,0.838521,0.656718,0.676383,0.761472,0.673553
45,1.003112,58.500,1.369827,53.500,0.00020740,23.377,72.989,28.261,34.783,61.765,0.000,0.734314,0.771189,0.845184,0.658990,0.703663,0.772679,0.691053
46,1.017179,57.833,1.360203,49.750,0.00019635,23.315,82.184,17.391,35.870,16.176,20.000,0.723188,0.752112,0.819627,0.642840,0.684818,0.755891,0.712763
47,1.015130,56.833,1.317459,58.250,0.00018502,23.345,76.437,32.609,58.696,45.588,0.000,0.749512,0.781896,0.845031,0.680607,0.727026,0.783974,0.710921
48,0.990735,58.667,1.370977,51.500,0.00017347,23.347,78.161,28.261,33.696,35.294,10.000,0.741530,0.771674,0.838674,0.665746,0.699464,0.785214,0.718553
