coverage,risk_mean,ci_low,ci_high
0.0025000000,0.0000000000,0.0000000000,0.0000000000
0.0050000000,0.2000000000,-0.1400436903,0.5400436903
0.0075000000,0.2666666667,-0.1867249204,0.7200582538
0.0100000000,0.2000000000,-0.1400436903,0.5400436903
0.0125000000,0.1600000000,-0.1120349523,0.4320349523
0.0150000000,0.1666666667,-0.0402773330,0.3736106664
0.0175000000,0.1714285714,-0.0598473978,0.4027045407
0.0200000000,0.1750000000,-0.0332333829,0.3832333829
0.0225000000,0.2000000000,0.0845721518,0.3154278482
0.0250000000,0.2000000000,0.1122010967,0.2877989033
0.0275000000,0.2000000000,0.1495191799,0.2504808201
0.0300000000,0.2000000000,0.1433260516,0.2566739484
0.0325000000,0.1846153846,0.1323009707,0.2369297985
0.0350000000,0.1857142857,0.1371366157,0.2342919558
0.0375000000,0.1733333333,0.1279941746,0.2186724920
0.0400000000,0.1625000000,0.1199945387,0.2050054613
0.0425000000,0.1529411765,0.1129360364,0.1929463165
0.0450000000,0.1555555556,0.1247061655,0.1864049456
0.0475000000,0.1473684211,0.1181426831,0.1765941590
0.0500000000,0.1400000000,0.1122355489,0.1677644511
0.0525000000,0.1428571429,0.1010481413,0.1846661444
0.0550000000,0.1363636364,0.0964550440,0.1762722288
0.0575000000,0.1391304348,0.0799924017,0.1982684679
0.0600000000,0.1333333333,0.0766593849,0.1900072817
0.0625000000,0.1280000000,0.0735930095,0.1824069905
0.0650000000,0.1230769231,0.0707625092,0.1753913370
0.0675000000,0.1259259259,0.0847934058,0.1670584460
0.0700000000,0.1214285714,0.0817650699,0.1610920729
0.0725000000,0.1172413793,0.0789455848,0.1555371739
0.0750000000,0.1133333333,0.0763140653,0.1503526014
0.0775000000,0.1161290323,0.0803039341,0.1519541304
0.0800000000,0.1125000000,0.0777944362,0.1472055638
0.0825000000,0.1151515152,0.0660929762,0.1642100541
0.0850000000,0.1117647059,0.0641490652,0.1593803466
0.0875000000,0.1085714286,0.0623162347,0.1548266224
0.0900000000,0.1166666667,0.0716963393,0.1616369940
0.0925000000,0.1135135135,0.0697586004,0.1572684266
0.0950000000,0.1105263158,0.0679228478,0.1531297838
0.0975000000,0.1179487179,0.0816483391,0.1542490968
0.1000000000,0.1250000000,0.0869819597,0.1630180403
0.1025000000,0.1219512195,0.0848604484,0.1590419906
0.1050000000,0.1238095238,0.0852635289,0.1623555187
0.1075000000,0.1209302326,0.0832806562,0.1585798089
0.1100000000,0.1227272727,0.0848666577,0.1605878878
0.1125000000,0.1244444444,0.0825982958,0.1662905931
0.1150000000,0.1260869565,0.0778009547,0.1743729584
0.1175000000,0.1234042553,0.0761456152,0.1706628954
0.1200000000,0.1250000000,0.0701256854,0.1798743146
0.1225000000,0.1306122449,0.0845797007,0.1766447891
0.1250000000,0.1360000000,0.0821627320,0.1898372680
0.1275000000,0.1372549020,0.0856084882,0.1889013157
0.1300000000,0.1423076923,0.0823740019,0.2022413827
0.1325000000,0.1396226415,0.0808197755,0.1984255076
0.1350000000,0.1407407407,0.0830268166,0.1984546648
0.1375000000,0.1418181818,0.0856051196,0.1980312440
0.1400000000,0.1428571429,0.0958220161,0.1898922696
0.1425000000,0.1473684211,0.0996429908,0.1950938513
0.1450000000,0.1482758621,0.1093862989,0.1871654253
0.1475000000,0.1491525424,0.1086713833,0.1896337015
0.1500000000,0.1466666667,0.1068601935,0.1864731398
0.1525000000,0.1442622951,0.1051083871,0.1834162031
0.1550000000,0.1516129032,0.1212406986,0.1819851079
0.1575000000,0.1492063492,0.1193162430,0.1790964554
0.1600000000,0.1468750000,0.1174519267,0.1762980733
0.1625000000,0.1476923077,0.1259120804,0.1694725350
0.1650000000,0.1454545455,0.1240043216,0.1669047693
0.1675000000,0.1462686567,0.1307634234,0.1617738901
0.1700000000,0.1500000000,0.1347227848,0.1652772152
0.1725000000,0.1536231884,0.1375278545,0.1697185223
0.1750000000,0.1542857143,0.1348546463,0.1737167823
0.1775000000,0.1521126761,0.1329552851,0.1712700671
0.1800000000,0.1527777778,0.1316566443,0.1738989113
