repeat_id,split_seed,image_id,gt_grade,set_id,clinician_id,condition,final_grade,confidence_score,decision_time_sec,correct,ai_shown_pred_grade,ai_shown_prob_top1,confidence_prob_calib
0,0,1,1,test,1,No-assist,1,72.68666534524385,21.24393659951957,1,1,,0.6808474934640568
0,0,1,1,test,1,AI-assist,1,81.0842297817274,17.675218155933617,1,1,0.5,0.7405960202019296
0,0,1,1,test,2,No-assist,2,116.73642272327658,21.66502206480635,1,1,,0.7512569598074065
0,0,1,1,test,2,AI-assist,3,59.25215714718873,15.167659328045012,1,1,0.5,0.6874582876634782
0,0,2,3,test,1,No-assist,4,71.34618706528288,20.27534725501161,0,1,,0.6800835323552665
0,0,2,3,test,1,AI-assist,1,57.02813077579164,25.05674030284644,1,1,0.5,0.599
0,0,2,3,test,2,No-assist,3,73.65592252616425,22.94001890487965,1,3,,0.7620334634540558
0,0,2,3,test,2,AI-assist,3,80.81855458954526,26.105449073310453,1,3,0.5,0.938861377164868
0,0,3,4,test,1,No-assist,4,63.44171128036082,20.22617754037109,0,4,,0.6684073145827608
0,0,3,4,test,1,AI-assist,4,80.24606972808435,20.552856357763883,0,4,0.5,0.5967087159594312
0,0,3,4,test,2,No-assist,4,81.03629521284248,21.87614464783209,0,4,,0.349892643664767
0,0,3,4,test,2,AI-assist,4,81.23220881436842,16.98143527875616,1,4,0.5,0.499
0,0,4,1,test,1,No-assist,1,63.77163846032767,22.45283393950838,0,1,,0.663926643156881
0,0,4,1,test,1,AI-assist,1,80.58456144627678,23.36006354158412,0,1,0.5,0.6899104024089872
0,0,4,1,test,2,No-assist,1,79.67664496496823,20.961894471710465,1,1,,0.7594039797980705
0,0,4,1,test,2,AI-assist,1,80.83600330372664,27.163276209920447,1,1,0.5,0.499
0,0,5,3,test,1,No-assist,3,90.46041047273616,20.263689436382823,0,0,,0.7451318996913732
0,0,5,3,test,1,AI-assist,3,81.76041047273617,10.835311164796009,0,0,0.85,0.4983498194464757
0,0,5,3,test,2,No-assist,3,72.82180401748526,22.90459837886345,0,3,,0.683214150042327
