comparison_id,metric,paired_delta_mean_pp,paired_delta_ci95_halfwidth_pp,paired_delta_ci95_low_pp,paired_delta_ci95_high_pp,condition,is_reference,mean_pct,sample_sd_pct,ci95_halfwidth_pp,ci95_low_pct,ci95_high_pct,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,n_seeds
A1_ALME,Accuracy,5,0.490811,4.509189,5.490811,ALME,TRUE,56.75,0.790569,0.981622,55.768378,57.731622,55.75,56.25,56.75,57.25,57.75,5
A1_ALME,Accuracy,5,0.490811,4.509189,5.490811,w/o ALME,FALSE,51.75,1.185854,1.472432,50.277568,53.222432,50.25,51,51.75,52.5,53.25,5
A1_ALME,Macro-AUC,1.1,0.239322,0.860678,1.339322,ALME,TRUE,75.7,0.597788,0.742251,74.957749,76.442251,74.98,75.31,75.63,76.12,76.46,5
A1_ALME,Macro-AUC,1.1,0.239322,0.860678,1.339322,w/o ALME,FALSE,74.6,0.784315,0.973856,73.626144,75.573856,73.72,74.02,74.51,75.11,75.64,5
A2_CSA,Accuracy,3.25,0.219497,3.030503,3.469497,CSA,TRUE,56.75,0.790569,0.981622,55.768378,57.731622,55.75,56.25,56.75,57.25,57.75,5
A2_CSA,Accuracy,3.25,0.219497,3.030503,3.469497,w/o CSA,FALSE,53.5,0.951972,1.182029,52.317971,54.682029,52.25,53,53.5,54,54.75,5
A2_CSA,Macro-AUC,0.6,0.06744,0.53256,0.66744,CSA,TRUE,75.7,0.597788,0.742251,74.957749,76.442251,74.98,75.31,75.63,76.12,76.46,5
A2_CSA,Macro-AUC,0.6,0.06744,0.53256,0.66744,w/o CSA,FALSE,75.1,0.58792,0.729999,74.370001,75.829999,74.33,74.79,75.06,75.48,75.84,5
A3_GATE_SHUFFLE,Accuracy,1,0.219497,0.780503,1.219497,MGF,TRUE,56.75,0.790569,0.981622,55.768378,57.731622,55.75,56.25,56.75,57.25,57.75,5
A3_GATE_SHUFFLE,Accuracy,1,0.219497,0.780503,1.219497,Shuffle-MGF (control),FALSE,55.75,0.684653,0.850109,54.899891,56.600109,55,55.25,55.75,56,56.75,5
A3_GATE_SHUFFLE,Macro-AUC,0.6,0.083755,0.516245,0.683755,MGF,TRUE,75.7,0.597788,0.742251,74.957749,76.442251,74.98,75.31,75.63,76.12,76.46,5
A3_GATE_SHUFFLE,Macro-AUC,0.6,0.083755,0.516245,0.683755,Shuffle-MGF (control),FALSE,75.1,0.554392,0.688368,74.411632,75.788368,74.48,74.71,75.02,75.43,75.86,5
A4_GATE_REMOVAL,Accuracy,1,0.219497,0.780503,1.219497,MGF,TRUE,56.75,0.790569,0.981622,55.768378,57.731622,55.75,56.25,56.75,57.25,57.75,5
A4_GATE_REMOVAL,Accuracy,1,0.219497,0.780503,1.219497,w/o MGF,FALSE,55.75,0.883883,1.097486,54.652514,56.847486,54.75,55.25,55.5,56.25,57,5
A4_GATE_REMOVAL,Macro-AUC,0.7,0.070786,0.629214,0.770786,MGF,TRUE,75.7,0.597788,0.742251,74.957749,76.442251,74.98,75.31,75.63,76.12,76.46,5
A4_GATE_REMOVAL,Macro-AUC,0.7,0.070786,0.629214,0.770786,w/o MGF,FALSE,75,0.635098,0.788579,74.211421,75.788579,74.19,74.66,74.91,75.44,75.8,5
