epoch,method,mean_auc_pct,sample_sd_pct,ci95_halfwidth_pp,ci95_low_pct,ci95_high_pct,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,n_seeds
2,Full (IdenGate),71.443447,1.114808,1.384217,70.05923,72.827664,71.234401,71.458329,69.699726,72.479476,72.345304,5
3,Full (IdenGate),72.335628,1.025597,1.273446,71.062182,73.609075,71.966606,72.268151,70.906208,73.644481,72.892695,5
4,Full (IdenGate),73.307475,0.947561,1.176553,72.130922,74.484027,72.90883,73.267555,72.061542,74.629235,73.670213,5
5,Full (IdenGate),74.575731,0.879302,1.091797,73.483934,75.667529,74.578043,74.458793,73.269709,75.712782,74.859331,5
6,Full (IdenGate),74.962872,0.819593,1.01766,73.945212,75.980531,74.949738,74.836617,73.813172,76.116404,75.098428,5
7,Full (IdenGate),70.427711,0.767365,0.95281,69.474901,71.38052,70.683913,70.067965,69.349358,71.405348,70.631969,5
8,Full (IdenGate),70.427711,0.72168,0.896084,69.531627,71.323795,70.288989,69.958321,69.581368,71.341622,70.968254,5
9,Full (IdenGate),70.427711,0.681718,0.846464,69.581247,71.274175,70.199532,70.091619,69.591403,71.045205,71.210795,5
10,Full (IdenGate),75.24207,0.646762,0.803061,74.43901,76.045131,74.683299,74.840193,74.856214,76.183696,75.646949,5
11,Full (IdenGate),75.181583,0.616185,0.765095,74.416489,75.946678,74.418319,75.261752,75.257968,74.876724,76.093155,5
12,Full (IdenGate),74.746865,0.589439,0.731885,74.01498,75.47875,74.900545,74.252205,74.965484,74.07792,75.538171,5
13,Full (IdenGate),74.639907,0.566043,0.702835,73.937071,75.342742,74.945742,74.199357,75.110838,73.873591,75.070005,5
14,Full (IdenGate),74.768052,0.545578,0.677425,74.090627,75.445477,74.436683,74.355807,75.421167,74.323292,75.30331,5
15,Full (IdenGate),74.756454,0.527677,0.655198,74.101256,75.411653,74.079834,74.395986,74.874417,75.004227,75.427808,5
16,Full (IdenGate),74.955495,0.512019,0.635756,74.31974,75.591251,74.827228,74.71732,74.295949,75.384391,75.552589,5
17,Full (IdenGate),75.163142,0.498322,0.618749,74.544394,75.781891,75.415186,74.767347,74.637146,75.866911,75.129121,5
18,Full (IdenGate),74.537497,0.486341,0.603872,73.933624,75.141369,74.94337,74.142874,74.057506,75.149625,74.39411,5
19,Full (IdenGate),74.796902,0.475861,0.59086,74.206042,75.387762,75.434392,74.436346,74.233924,75.015846,74.864001,5
20,Full (IdenGate),74.527785,0.466694,0.579477,73.948307,75.107262,75.043718,74.093318,73.975375,74.752869,74.773643,5
21,Full (IdenGate),74.375461,0.458675,0.569521,73.80594,74.944982,74.821604,74.071161,73.781584,74.819462,74.383494,5
22,Full (IdenGate),75.021392,0.451661,0.560812,74.46058,75.582203,75.468692,74.673648,74.418534,75.322515,75.22357,5
23,Full (IdenGate),75.299361,0.445526,0.553193,74.746167,75.852554,75.782698,74.800615,74.870347,75.641576,75.401568,5
24,Full (IdenGate),74.971355,0.440159,0.54653,74.424825,75.517884,75.44839,74.50768,74.516039,75.30944,75.075224,5
25,Full (IdenGate),74.466929,0.435464,0.540701,73.926228,75.007629,74.8356,74.065032,73.923808,74.753058,74.757148,5
26,Full (IdenGate),74.617531,0.431358,0.535602,74.08193,75.153133,75.138872,74.256635,74.095309,74.84358,74.753261,5
27,Full (IdenGate),74.47197,0.427766,0.531142,73.940828,75.003111,74.97628,74.124238,73.937825,74.667813,74.653693,5
28,Full (IdenGate),74.586919,0.424624,0.52724,74.059679,75.11416,75.16686,74.213662,74.174537,74.854625,74.524912,5
29,Full (IdenGate),74.741579,0.421876,0.523828,74.217751,75.265406,75.322503,74.511326,74.3609,75.053281,74.459883,5
30,Full (IdenGate),74.730022,0.419472,0.520843,74.209179,75.250865,75.285542,74.541691,74.449839,75.058989,74.31405,5
31,Full (IdenGate),73.304893,0.417369,0.518232,72.786661,73.823125,73.842015,73.245005,72.864892,73.610627,72.961926,5
32,Full (IdenGate),74.329604,0.415529,0.515948,73.813656,74.845552,74.826637,74.452139,73.827585,74.562094,73.979565,5
33,Full (IdenGate),74.127858,0.41392,0.51395,73.613908,74.641808,74.356265,74.651174,73.735237,74.21351,73.683107,5
34,Full (IdenGate),74.044627,0.412513,0.512202,73.532425,74.55683,74.412043,74.43493,73.749923,74.128791,73.49745,5
35,Full (IdenGate),74.964224,0.411282,0.510674,74.453551,75.474898,75.461253,75.149683,74.460714,75.125375,74.624097,5
36,Full (IdenGate),73.645439,0.410205,0.509337,73.136102,74.154775,73.687469,74.012407,72.953884,73.882825,73.69061,5
37,Full (IdenGate),73.566265,0.409263,0.508167,73.058098,74.074432,73.5292,74.03297,73.001538,73.881554,73.386063,5
38,Full (IdenGate),74.089993,0.408439,0.507144,73.582849,74.597136,73.810623,74.651081,73.796581,74.402647,73.789031,5
39,Full (IdenGate),74.92476,0.407718,0.506249,74.418511,75.431009,74.755885,75.609458,74.632867,74.982107,74.643485,5
