coverage,risk
0.0025000000,0.0000000000
0.0050000000,0.0000000000
0.0075000000,0.0000000000
0.0100000000,0.0000000000
0.0125000000,0.0000000000
0.0150000000,0.1666666667
0.0175000000,0.1428571429
0.0200000000,0.2500000000
0.0225000000,0.2222222222
0.0250000000,0.2000000000
0.0275000000,0.1818181818
0.0300000000,0.1666666667
0.0325000000,0.1538461538
0.0350000000,0.2142857143
0.0375000000,0.2000000000
0.0400000000,0.1875000000
0.0425000000,0.1764705882
0.0450000000,0.1666666667
0.0475000000,0.1578947368
0.0500000000,0.1500000000
0.0525000000,0.1428571429
0.0550000000,0.1363636364
0.0575000000,0.1304347826
0.0600000000,0.1250000000
0.0625000000,0.1200000000
0.0650000000,0.1153846154
0.0675000000,0.1111111111
0.0700000000,0.1071428571
0.0725000000,0.1034482759
0.0750000000,0.1000000000
0.0775000000,0.1290322581
0.0800000000,0.1250000000
0.0825000000,0.1212121212
0.0850000000,0.1176470588
0.0875000000,0.1142857143
0.0900000000,0.1388888889
0.0925000000,0.1351351351
0.0950000000,0.1315789474
0.0975000000,0.1282051282
0.1000000000,0.1250000000
0.1025000000,0.1219512195
0.1050000000,0.1190476190
0.1075000000,0.1162790698
0.1100000000,0.1363636364
0.1125000000,0.1333333333
0.1150000000,0.1304347826
0.1175000000,0.1276595745
0.1200000000,0.1250000000
0.1225000000,0.1224489796
0.1250000000,0.1200000000
0.1275000000,0.1372549020
0.1300000000,0.1346153846
0.1325000000,0.1320754717
0.1350000000,0.1296296296
0.1375000000,0.1454545455
0.1400000000,0.1428571429
0.1425000000,0.1578947368
0.1450000000,0.1551724138
0.1475000000,0.1525423729
0.1500000000,0.1500000000
0.1525000000,0.1475409836
0.1550000000,0.1612903226
0.1575000000,0.1587301587
0.1600000000,0.1562500000
0.1625000000,0.1538461538
0.1650000000,0.1515151515
0.1675000000,0.1492537313
0.1700000000,0.1617647059
0.1725000000,0.1594202899
0.1750000000,0.1714285714
0.1775000000,0.1690140845
0.1800000000,0.1666666667
0.1825000000,0.1643835616
0.1850000000,0.1621621622
0.1875000000,0.1600000000
0.1900000000,0.1578947368
0.1925000000,0.1558441558
0.1950000000,0.1538461538
0.1975000000,0.1518987342
0.2000000000,0.1625000000
0.2025000000,0.1728395062
0.2050000000,0.1707317073
0.2075000000,0.1686746988
0.2100000000,0.1666666667
0.2125000000,0.1764705882
0.2150000000,0.1744186047
0.2175000000,0.1724137931
0.2200000000,0.1704545455
0.2225000000,0.1685393258
0.2250000000,0.1666666667
0.2275000000,0.1648351648
0.2300000000,0.1630434783
0.2325000000,0.1612903226
0.2350000000,0.1595744681
0.2375000000,0.1684210526
0.2400000000,0.1666666667
0.2425000000,0.1649484536
0.2450000000,0.1632653061
0.2475000000,0.1616161616
0.2500000000,0.1600000000
0.2525000000,0.1584158416
0.2550000000,0.1568627451
0.2575000000,0.1553398058
0.2600000000,0.1538461538
0.2625000000,0.1523809524
0.2650000000,0.1603773585
0.2675000000,0.1588785047
0.2700000000,0.1574074074
0.2725000000,0.1559633028
0.2750000000,0.1545454545
0.2775000000,0.1531531532
0.2800000000,0.1517857143
0.2825000000,0.1504424779
0.2850000000,0.1491228070
0.2875000000,0.1478260870
0.2900000000,0.1465517241
0.2925000000,0.1452991453
0.2950000000,0.1440677966
0.2975000000,0.1428571429
0.3000000000,0.1500000000
0.3025000000,0.1487603306
0.3050000000,0.1557377049
0.3075000000,0.1544715447
0.3100000000,0.1532258065
0.3125000000,0.1520000000
0.3150000000,0.1507936508
0.3175000000,0.1496062992
0.3200000000,0.1484375000
0.3225000000,0.1472868217
0.3250000000,0.1461538462
0.3275000000,0.1450381679
0.3300000000,0.1515151515
0.3325000000,0.1578947368
0.3350000000,0.1567164179
0.3375000000,0.1555555556
0.3400000000,0.1544117647
0.3425000000,0.1532846715
0.3450000000,0.1521739130
0.3475000000,0.1510791367
0.3500000000,0.1500000000
0.3525000000,0.1489361702
0.3550000000,0.1478873239
0.3575000000,0.1468531469
0.3600000000,0.1527777778
0.3625000000,0.1517241379
0.3650000000,0.1506849315
0.3675000000,0.1564625850
0.3700000000,0.1554054054
0.3725000000,0.1610738255
0.3750000000,0.1666666667
0.3775000000,0.1721854305
0.3800000000,0.1710526316
0.3825000000,0.1764705882
0.3850000000,0.1753246753
0.3875000000,0.1741935484
0.3900000000,0.1730769231
0.3925000000,0.1719745223
0.3950000000,0.1772151899
0.3975000000,0.1823899371
0.4000000000,0.1875000000
0.4025000000,0.1863354037
0.4050000000,0.1913580247
0.4075000000,0.1901840491
0.4100000000,0.1951219512
0.4125000000,0.2000000000
0.4150000000,0.2048192771
0.4175000000,0.2095808383
0.4200000000,0.2083333333
0.4225000000,0.2071005917
0.4250000000,0.2117647059
0.4275000000,0.2163742690
0.4300000000,0.2209302326
0.4325000000,0.2254335260
0.4350000000,0.2298850575
0.4375000000,0.2342857143
0.4400000000,0.2386363636
0.4425000000,0.2372881356
0.4450000000,0.2359550562
0.4475000000,0.2402234637
0.4500000000,0.2444444444
0.4525000000,0.2486187845
0.4550000000,0.2472527473
0.4575000000,0.2513661202
0.4600000000,0.2554347826
0.4625000000,0.2594594595
0.4650000000,0.2580645161
0.4675000000,0.2620320856
0.4700000000,0.2659574468
0.4725000000,0.2698412698
0.4750000000,0.2736842105
0.4775000000,0.2774869110
0.4800000000,0.2812500000
0.4825000000,0.2849740933
0.4850000000,0.2886597938
0.4875000000,0.2923076923
0.4900000000,0.2959183673
0.4925000000,0.2944162437
0.4950000000,0.2979797980
0.4975000000,0.3015075377
0.5000000000,0.3000000000
0.5025000000,0.2985074627
0.5050000000,0.2970297030
0.5075000000,0.2955665025
0.5100000000,0.2941176471
0.5125000000,0.2926829268
0.5150000000,0.2961165049
0.5175000000,0.2995169082
0.5200000000,0.3028846154
0.5225000000,0.3062200957
0.5250000000,0.3047619048
0.5275000000,0.3033175355
0.5300000000,0.3018867925
0.5325000000,0.3051643192
0.5350000000,0.3084112150
0.5375000000,0.3069767442
0.5400000000,0.3101851852
0.5425000000,0.3087557604
0.5450000000,0.3073394495
0.5475000000,0.3105022831
0.5500000000,0.3136363636
0.5525000000,0.3167420814
0.5550000000,0.3153153153
0.5575000000,0.3183856502
0.5600000000,0.3214285714
0.5625000000,0.3200000000
0.5650000000,0.3230088496
0.5675000000,0.3259911894
0.5700000000,0.3289473684
0.5725000000,0.3318777293
0.5750000000,0.3347826087
0.5775000000,0.3376623377
0.5800000000,0.3362068966
0.5825000000,0.3390557940
0.5850000000,0.3376068376
0.5875000000,0.3404255319
0.5900000000,0.3389830508
0.5925000000,0.3375527426
0.5950000000,0.3403361345
0.5975000000,0.3430962343
0.6000000000,0.3458333333
0.6025000000,0.3485477178
0.6050000000,0.3512396694
0.6075000000,0.3539094650
0.6100000000,0.3565573770
0.6125000000,0.3551020408
0.6150000000,0.3536585366
0.6175000000,0.3522267206
0.6200000000,0.3548387097
0.6225000000,0.3574297189
0.6250000000,0.3600000000
0.6275000000,0.3625498008
0.6300000000,0.3611111111
0.6325000000,0.3636363636
0.6350000000,0.3661417323
0.6375000000,0.3647058824
0.6400000000,0.3671875000
0.6425000000,0.3657587549
0.6450000000,0.3682170543
0.6475000000,0.3667953668
0.6500000000,0.3653846154
0.6525000000,0.3678160920
0.6550000000,0.3702290076
0.6575000000,0.3726235741
0.6600000000,0.3750000000
0.6625000000,0.3735849057
0.6650000000,0.3721804511
0.6675000000,0.3745318352
0.6700000000,0.3768656716
0.6725000000,0.3754646840
0.6750000000,0.3740740741
0.6775000000,0.3726937269
0.6800000000,0.3750000000
0.6825000000,0.3772893773
0.6850000000,0.3759124088
0.6875000000,0.3781818182
0.6900000000,0.3804347826
0.6925000000,0.3790613718
0.6950000000,0.3812949640
0.6975000000,0.3835125448
0.7000000000,0.3821428571
0.7025000000,0.3843416370
0.7050000000,0.3829787234
0.7075000000,0.3851590106
0.7100000000,0.3873239437
0.7125000000,0.3859649123
0.7150000000,0.3881118881
0.7175000000,0.3867595819
0.7200000000,0.3854166667
0.7225000000,0.3840830450
0.7250000000,0.3827586207
0.7275000000,0.3848797251
0.7300000000,0.3869863014
0.7325000000,0.3856655290
0.7350000000,0.3877551020
0.7375000000,0.3864406780
0.7400000000,0.3851351351
0.7425000000,0.3872053872
0.7450000000,0.3892617450
0.7475000000,0.3913043478
0.7500000000,0.3900000000
0.7525000000,0.3887043189
0.7550000000,0.3907284768
0.7575000000,0.3927392739
0.7600000000,0.3947368421
0.7625000000,0.3967213115
0.7650000000,0.3986928105
0.7675000000,0.4006514658
0.7700000000,0.4025974026
0.7725000000,0.4045307443
0.7750000000,0.4064516129
0.7775000000,0.4083601286
0.7800000000,0.4102564103
0.7825000000,0.4121405751
0.7850000000,0.4140127389
0.7875000000,0.4126984127
0.7900000000,0.4113924051
0.7925000000,0.4132492114
0.7950000000,0.4150943396
0.7975000000,0.4169278997
0.8000000000,0.4156250000
0.8025000000,0.4143302181
0.8050000000,0.4161490683
0.8075000000,0.4148606811
0.8100000000,0.4166666667
0.8125000000,0.4184615385
0.8150000000,0.4171779141
0.8175000000,0.4189602446
0.8200000000,0.4176829268
0.8225000000,0.4194528875
0.8250000000,0.4212121212
0.8275000000,0.4229607251
0.8300000000,0.4246987952
0.8325000000,0.4264264264
0.8350000000,0.4251497006
0.8375000000,0.4238805970
0.8400000000,0.4226190476
0.8425000000,0.4213649852
0.8450000000,0.4230769231
0.8475000000,0.4218289086
0.8500000000,0.4235294118
0.8525000000,0.4222873900
0.8550000000,0.4239766082
0.8575000000,0.4256559767
0.8600000000,0.4273255814
0.8625000000,0.4260869565
0.8650000000,0.4248554913
0.8675000000,0.4265129683
0.8700000000,0.4281609195
0.8725000000,0.4269340974
0.8750000000,0.4257142857
0.8775000000,0.4273504274
0.8800000000,0.4289772727
0.8825000000,0.4305949008
0.8850000000,0.4322033898
0.8875000000,0.4338028169
0.8900000000,0.4353932584
0.8925000000,0.4369747899
0.8950000000,0.4385474860
0.8975000000,0.4373259053
0.9000000000,0.4361111111
0.9025000000,0.4376731302
0.9050000000,0.4364640884
0.9075000000,0.4380165289
0.9100000000,0.4368131868
0.9125000000,0.4383561644
0.9150000000,0.4398907104
0.9175000000,0.4414168937
0.9200000000,0.4429347826
0.9225000000,0.4417344173
0.9250000000,0.4405405405
0.9275000000,0.4420485175
0.9300000000,0.4408602151
0.9325000000,0.4423592493
