coverage,risk
0.0025000000,0.0000000000
0.0050000000,0.5000000000
0.0075000000,0.6666666667
0.0100000000,0.5000000000
0.0125000000,0.4000000000
0.0150000000,0.3333333333
0.0175000000,0.4285714286
0.0200000000,0.3750000000
0.0225000000,0.3333333333
0.0250000000,0.3000000000
0.0275000000,0.2727272727
0.0300000000,0.2500000000
0.0325000000,0.2307692308
0.0350000000,0.2142857143
0.0375000000,0.2000000000
0.0400000000,0.1875000000
0.0425000000,0.1764705882
0.0450000000,0.1666666667
0.0475000000,0.1578947368
0.0500000000,0.1500000000
0.0525000000,0.1428571429
0.0550000000,0.1363636364
0.0575000000,0.1304347826
0.0600000000,0.1250000000
0.0625000000,0.1200000000
0.0650000000,0.1153846154
0.0675000000,0.1111111111
0.0700000000,0.1071428571
0.0725000000,0.1034482759
0.0750000000,0.1000000000
0.0775000000,0.0967741935
0.0800000000,0.0937500000
0.0825000000,0.0909090909
0.0850000000,0.1176470588
0.0875000000,0.1142857143
0.0900000000,0.1111111111
0.0925000000,0.1081081081
0.0950000000,0.1052631579
0.0975000000,0.1282051282
0.1000000000,0.1250000000
0.1025000000,0.1463414634
0.1050000000,0.1428571429
0.1075000000,0.1395348837
0.1100000000,0.1363636364
0.1125000000,0.1555555556
0.1150000000,0.1521739130
0.1175000000,0.1702127660
0.1200000000,0.1875000000
0.1225000000,0.2040816327
0.1250000000,0.2000000000
0.1275000000,0.1960784314
0.1300000000,0.2115384615
0.1325000000,0.2075471698
0.1350000000,0.2037037037
0.1375000000,0.2000000000
0.1400000000,0.1964285714
0.1425000000,0.1929824561
0.1450000000,0.1896551724
0.1475000000,0.1864406780
0.1500000000,0.1833333333
0.1525000000,0.1803278689
0.1550000000,0.1774193548
0.1575000000,0.1746031746
0.1600000000,0.1718750000
0.1625000000,0.1692307692
0.1650000000,0.1666666667
0.1675000000,0.1641791045
0.1700000000,0.1617647059
0.1725000000,0.1594202899
0.1750000000,0.1571428571
0.1775000000,0.1549295775
0.1800000000,0.1527777778
0.1825000000,0.1506849315
0.1850000000,0.1486486486
0.1875000000,0.1600000000
0.1900000000,0.1578947368
0.1925000000,0.1558441558
0.1950000000,0.1666666667
0.1975000000,0.1645569620
0.2000000000,0.1750000000
0.2025000000,0.1728395062
0.2050000000,0.1707317073
0.2075000000,0.1686746988
0.2100000000,0.1666666667
0.2125000000,0.1647058824
0.2150000000,0.1627906977
0.2175000000,0.1609195402
0.2200000000,0.1590909091
0.2225000000,0.1573033708
0.2250000000,0.1666666667
0.2275000000,0.1648351648
0.2300000000,0.1739130435
0.2325000000,0.1720430108
0.2350000000,0.1702127660
0.2375000000,0.1684210526
0.2400000000,0.1666666667
0.2425000000,0.1752577320
