coverage,risk_mean,ci_low,ci_high
0.0025000000,0.2000000000,-0.3552890210,0.7552890210
0.0050000000,0.4000000000,-0.1194253168,0.9194253168
0.0075000000,0.4000000000,-0.0533915871,0.8533915871
0.0100000000,0.3000000000,-0.0400436903,0.6400436903
0.0125000000,0.2400000000,-0.0320349523,0.5120349523
0.0150000000,0.2000000000,-0.0266957936,0.4266957936
0.0175000000,0.2285714286,0.0263264604,0.4308163967
0.0200000000,0.2000000000,0.0230356529,0.3769643471
0.0225000000,0.2000000000,0.0845721518,0.3154278482
0.0250000000,0.2200000000,0.1161149366,0.3238850634
0.0275000000,0.2363636364,0.1745375108,0.2981897619
0.0300000000,0.2166666667,0.1599927183,0.2733406151
0.0325000000,0.2000000000,0.1476855861,0.2523144139
0.0350000000,0.1857142857,0.1371366157,0.2342919558
0.0375000000,0.1733333333,0.1279941746,0.2186724920
0.0400000000,0.1625000000,0.1199945387,0.2050054613
0.0425000000,0.1529411765,0.1129360364,0.1929463165
0.0450000000,0.1555555556,0.1247061655,0.1864049456
0.0475000000,0.1473684211,0.1181426831,0.1765941590
0.0500000000,0.1400000000,0.1122355489,0.1677644511
0.0525000000,0.1333333333,0.1068909990,0.1597756677
0.0550000000,0.1363636364,0.0964550440,0.1762722288
0.0575000000,0.1304347826,0.0922613464,0.1686082188
0.0600000000,0.1333333333,0.1101962908,0.1564703759
0.0625000000,0.1280000000,0.1057884392,0.1502115608
0.0650000000,0.1307692308,0.1046120238,0.1569264377
0.0675000000,0.1333333333,0.1081449118,0.1585217548
0.0700000000,0.1357142857,0.0986124774,0.1728160941
0.0725000000,0.1310344828,0.0952120471,0.1668569184
0.0750000000,0.1266666667,0.0920383122,0.1612950211
0.0775000000,0.1290322581,0.0889785807,0.1690859354
0.0800000000,0.1250000000,0.0861980001,0.1638019999
0.0825000000,0.1272727273,0.0860553103,0.1684901443
0.0850000000,0.1294117647,0.0967477046,0.1620758248
0.0875000000,0.1257142857,0.0939834845,0.1574450869
0.0900000000,0.1222222222,0.0913728322,0.1530716123
0.0925000000,0.1243243243,0.0860617628,0.1625868859
0.0950000000,0.1210526316,0.0837969796,0.1583082836
0.0975000000,0.1282051282,0.1056925889,0.1507176675
0.1000000000,0.1300000000,0.1161177745,0.1438822255
0.1025000000,0.1365853659,0.1199978688,0.1531728629
0.1050000000,0.1333333333,0.1171407767,0.1495258900
0.1075000000,0.1348837209,0.1219700228,0.1477974191
0.1100000000,0.1363636364,0.1363636364,0.1363636364
0.1125000000,0.1377777778,0.1254380218,0.1501175338
0.1150000000,0.1347826087,0.1227111082,0.1468541092
0.1175000000,0.1361702128,0.1125408927,0.1597995328
0.1200000000,0.1375000000,0.1027944362,0.1722055638
0.1225000000,0.1387755102,0.0934457942,0.1841052262
0.1250000000,0.1360000000,0.0915768783,0.1804231217
0.1275000000,0.1372549020,0.0950857817,0.1794240222
0.1300000000,0.1461538462,0.0996067552,0.1927009371
0.1325000000,0.1433962264,0.0977273825,0.1890650703
0.1350000000,0.1444444444,0.1002150298,0.1886738590
0.1375000000,0.1418181818,0.0983929384,0.1852434252
0.1400000000,0.1392857143,0.0966359216,0.1819355069
0.1425000000,0.1368421053,0.0949405546,0.1787436559
0.1450000000,0.1379310345,0.0978803339,0.1779817351
0.1475000000,0.1355932203,0.0962213452,0.1749650955
0.1500000000,0.1366666667,0.0996473986,0.1736859347
0.1525000000,0.1344262295,0.0980138347,0.1708386243
0.1550000000,0.1322580645,0.0964329664,0.1680831626
0.1575000000,0.1301587302,0.0949022844,0.1654151759
0.1600000000,0.1312500000,0.0960063333,0.1664936667
0.1625000000,0.1323076923,0.1033372817,0.1612781029
0.1650000000,0.1303030303,0.1017715653,0.1588344953
0.1675000000,0.1313432836,0.1071801226,0.1555064445
0.1700000000,0.1323529412,0.1099893880,0.1547164943
0.1725000000,0.1304347826,0.1083953389,0.1524742263
0.1750000000,0.1314285714,0.1119975034,0.1508596394
0.1775000000,0.1323943662,0.1124547215,0.1523340109
0.1800000000,0.1361111111,0.1136259474,0.1585962748
